1946 , 3,7M , GCF_000311765.1_ASM31176v1_genomic.fna
1947 , 2,4M , GCF_000312685.1_ASM31268v1_genomic.fna
1948 , 5,2M , GCF_000312705.1_ASM31270v1_genomic.fna
1949 , 3,9M , GCF_000313175.2_ASM31317v2_genomic.fna
1950 , 1,9M , GCF_000313385.1_ASM31338v1_genomic.fna
1951 , 828K , GCF_000313635.1_ASM31363v1_genomic.fna
1952 , 1,6M , GCF_000315955.1_ASM31595v1_genomic.fna
1953 , 6,0M , GCF_000316175.1_ASM31617v1_genomic.fna
1954 , 3,3M , GCF_000316515.1_ASM31651v1_genomic.fna
1955 , 6,8M , GCF_000316575.1_ASM31657v1_genomic.fna
1956 , 5,0M , GCF_000316605.1_ASM31660v1_genomic.fna
1957 , 6,2M , GCF_000316625.1_ASM31662v1_genomic.fna
1958 , 6,5M , GCF_000316645.1_ASM31664v1_genomic.fna
1959 , 8,5M , GCF_000316665.1_ASM31666v1_genomic.fna
1960 , 3,6M , GCF_000316685.1_ASM31668v1_genomic.fna
1961 , 4,9M , GCF_000317025.1_ASM31702v1_genomic.fna
1962 , 4,6M , GCF_000317045.1_ASM31704v1_genomic.fna
1963 , 4,8M , GCF_000317065.1_ASM31706v1_genomic.fna
1964 , 3,5M , GCF_000317085.1_ASM31708v1_genomic.fna
1965 , 7,6M , GCF_000317105.1_ASM31710v1_genomic.fna
1966 , 6,5M , GCF_000317125.1_ASM31712v1_genomic.fna
1967 , 5,3M , GCF_000317305.3_ASM31730v3_genomic.fna
1968 , 6,8M , GCF_000317435.1_ASM31743v1_genomic.fna
1969 , 8,0M , GCF_000317475.1_ASM31747v1_genomic.fna
1970 , 5,5M , GCF_000317495.1_ASM31749v1_genomic.fna
1971 , 7,7M , GCF_000317515.1_ASM31751v1_genomic.fna
1972 , 5,7M , GCF_000317555.1_ASM31755v1_genomic.fna
1973 , 5,4M , GCF_000317575.1_ASM31757v1_genomic.fna
1974 , 3,7M , GCF_000317615.1_ASM31761v1_genomic.fna
1975 , 4,1M , GCF_000317635.1_ASM31763v1_genomic.fna
1976 , 4,1M , GCF_000317675.1_ASM31767v1_genomic.fna
1977 , 6,9M , GCF_000317695.1_ASM31769v1_genomic.fna
1978 , 4,4M , GCF_000317835.1_ASM31783v1_genomic.fna
1979 , 2,2M , GCF_000317855.1_ASM31785v1_genomic.fna
1980 , 1,5M , GCF_000317875.1_ASM31787v1_genomic.fna
1981 , 3,9M , GCF_000317895.1_ASM31789v1_genomic.fna
1982 , 2,8M , GCF_000317915.1_ASM31791v1_genomic.fna
1983 , 4,8M , GCF_000317935.1_ASM31793v1_genomic.fna
1984 , 5,0M , GCF_000317955.1_ASM31795v1_genomic.fna
1985 , 3,6M , GCF_000317975.2_ASM31797v2_genomic.fna
1986 , 5,1M , GCF_000318015.1_ASM31801v1_genomic.fna
1987 , 3,1M , GCF_000318035.1_ASM31803v1_genomic.fna
1988 , 2,9M , GCF_000318055.1_ASM31805v1_genomic.fna
1989 , 1,1M , GCF_000318525.1_ASM31852v2_genomic.fna
1990 , 1,1M , GCF_000318565.1_ASM31856v1_genomic.fna
1991 , 1,1M , GCF_000318645.1_ASM31864v1_genomic.fna
1992 , 1,1M , GCF_000318765.1_ASM31876v1_genomic.fna
1993 , 1,1M , GCF_000318785.1_ASM31878v1_genomic.fna
1994 , 1,1M , GCF_000318825.1_ASM31882v1_genomic.fna
1995 , 1,1M , GCF_000318845.1_ASM31884v1_genomic.fna
1996 , 1,1M , GCF_000318865.1_ASM31886v1_genomic.fna
1997 , 1,1M , GCF_000318885.1_ASM31888v1_genomic.fna
1998 , 1,1M , GCF_000318905.1_ASM31890v1_genomic.fna
1999 , 1,1M , GCF_000318925.1_ASM31892v1_genomic.fna
2000 , 1,1M , GCF_000318985.1_ASM31898v1_genomic.fna
2001 , 1,1M , GCF_000319105.1_ASM31910v1_genomic.fna
2002 , 813K , GCF_000319225.1_ASM31922v1_genomic.fna
2003 , 811K , GCF_000319245.1_ASM31924v1_genomic.fna
2004 , 1,5M , GCF_000319385.1_ASM31938v1_genomic.fna
2005 , 3,9M , GCF_000319475.1_ASM31947v1_genomic.fna
2006 , 1,7M , GCF_000319575.2_ASM31957v2_genomic.fna
2007 , 809K , GCF_000319655.2_ASM31965v2_genomic.fna
2008 , 808K , GCF_000319675.2_ASM31967v2_genomic.fna
2009 , 6,9M , GCF_000320385.2_ASM32038v2_genomic.fna
2010 , 4,0M , GCF_000321395.1_ASM32139v1_genomic.fna
2011 , 3,9M , GCF_000321415.2_ASM32141v2_genomic.fna
2012 , 2,5M , GCF_000325665.1_ASM32566v1_genomic.fna
2013 , 5,5M , GCF_000325705.1_ASM32570v1_genomic.fna
2014 , 5,8M , GCF_000325725.1_ASM32572v1_genomic.fna
2015 , 1,5M , GCF_000325745.1_ASM32574v1_genomic.fna
2016 , 4,0M , GCF_000327045.1_ASM32704v1_genomic.fna
2017 , 4,5M , GCF_000327065.1_ASM32706v1_genomic.fna
2018 , 1,1M , GCF_000327395.2_ASM32739v2_genomic.fna
2019 , 5,0M , GCF_000328405.1_ASM32840v1_genomic.fna
2020 , 2,8M , GCF_000328545.1_ASM32854v1_genomic.fna
2021 , 7,0M , GCF_000328565.1_ASM32856v1_genomic.fna
2022 , 2,6M , GCF_000328625.1_ASM32862v1_genomic.fna
2023 , 9,1M , GCF_000328705.1_ASM32870v1_genomic.fna
2024 , 987K , GCF_000328725.1_ASM32872v1_genomic.fna
2025 , 2,7M , GCF_000328765.2_ASM32876v2_genomic.fna
2026 , 4,6M , GCF_000329365.2_ASM32936v2_genomic.fna
2027 , 4,7M , GCF_000330485.2_ASM33048v2_genomic.fna
2028 , 4,7M , GCF_000330865.1_ASM33086v1_genomic.fna
2029 , 6,5M , GCF_000330885.1_ASM33088v1_genomic.fna
2030 , 783K , GCF_000331065.1_ASM33106v1_genomic.fna
2031 , 808K , GCF_000331085.3_ASM33108v2_genomic.fna
2032 , 6,9M , GCF_000331165.2_ASM33116v2_genomic.fna
2033 , 9,4M , GCF_000331185.2_ASM33118v2_genomic.fna
2034 , 4,3M , GCF_000331445.1_ASM33144v1_genomic.fna
2035 , 2,1M , GCF_000331695.1_ASM33169v1_genomic.fna
2036 , 1,7M , GCF_000331715.1_ASM33171v1_genomic.fna
2037 , 10M , GCF_000331735.1_ASM33173v1_genomic.fna
2038 , 2,9M , GCF_000331995.1_ASM33199v1_genomic.fna
2039 , 3,8M , GCF_000332115.1_ASM33211v1_genomic.fna
2040 , 4,7M , GCF_000332755.1_ASM33275v1_genomic.fna
2041 , 1,7M , GCF_000333835.2_ASM33383v2_genomic.fna
2042 , 632K , GCF_000334405.1_ASM33440v1_genomic.fna
2043 , 5,4M , GCF_000334515.1_ASM33451v1_genomic.fna
2044 , 5,7M , GCF_000334875.3_ASM33487v3_genomic.fna
2045 , 4,6M , GCF_000335875.2_ASM33587v2_genomic.fna
2046 , 4,5M , GCF_000335995.2_ASM33599v2_genomic.fna
2047 , 2,8M , GCF_000336405.1_ASM33640v1_genomic.fna
2048 , 5,1M , GCF_000336425.1_ASM33642v1_genomic.fna
2049 , 3,5M , GCF_000336445.1_ASM33644v1_genomic.fna
2050 , 5,4M , GCF_000336465.1_ASM33646v1_genomic.fna
2051 , 2,3M , GCF_000338095.1_ASM33809v1_genomic.fna
2052 , 3,2M , GCF_000338115.2_ASM33811v2_genomic.fna
2053 , 4,3M , GCF_000338715.2_ASM33871v2_genomic.fna
2054 , 4,0M , GCF_000338735.1_ASM33873v1_genomic.fna
2055 , 5,8M , GCF_000338755.1_ASM33875v1_genomic.fna
2056 , 4,4M , GCF_000339015.1_ASM33901v1_genomic.fna
2057 , 4,1M , GCF_000340435.2_ASM34043v3_genomic.fna
2058 , 3,9M , GCF_000340785.1_ASM34078v1_genomic.fna
2059 , 824K , GCF_000340795.1_ASM34079v1_genomic.fna
2060 , 813K , GCF_000340825.1_ASM34082v1_genomic.fna
2061 , 9,8M , GCF_000340845.1_ASM34084v1_genomic.fna
2062 , 802K , GCF_000340865.1_ASM34086v1_genomic.fna
2063 , 6,5M , GCF_000340885.1_ASM34088v1_genomic.fna
2064 , 813K , GCF_000340905.1_ASM34090v1_genomic.fna
2065 , 811K , GCF_000340925.1_ASM34092v1_genomic.fna
2066 , 3,2M , GCF_000341345.1_ASM34134v1_genomic.fna
2067 , 1,6M , GCF_000341355.1_ASM34135v1_genomic.fna
2068 , 1,8M , GCF_000341385.1_ASM34138v1_genomic.fna
2069 , 3,9M , GCF_000341395.1_ASM34139v1_genomic.fna
2070 , 4,6M , GCF_000341425.1_ASM34142v1_genomic.fna
2071 , 3,6M , GCF_000341465.2_ASM34146v2_genomic.fna
2072 , 3,6M , GCF_000341485.2_ASM34148v2_genomic.fna
2073 , 1,4M , GCF_000341655.1_ASM34165v1_genomic.fna
2074 , 6,6M , GCF_000341665.1_ASM34166v1_genomic.fna
2075 , 1,5M , GCF_000341695.1_ASM34169v1_genomic.fna
2076 , 1,5M , GCF_000341855.1_ASM34185v1_genomic.fna
2077 , 3,8M , GCF_000341875.1_ASM34187v1_genomic.fna
2078 , 6,3M , GCF_000344335.2_ASM34433v2_genomic.fna
2079 , 6,5M , GCF_000344355.2_ASM34435v2_genomic.fna
2080 , 6,6M , GCF_000344475.3_ASM34447v3_genomic.fna
2081 , 2,4M , GCF_000344575.1_ASM34457v1_genomic.fna
2082 , 4,1M , GCF_000344745.1_ASM34474v1_genomic.fna
2083 , 2,1M , GCF_000344765.1_ASM34476v1_genomic.fna
2084 , 2,9M , GCF_000344785.1_ASM34478v1_genomic.fna
2085 , 8,0M , GCF_000344805.1_ASM34480v1_genomic.fna
2086 , 6,5M , GCF_000346065.1_ASM34606v1_genomic.fna
2087 , 4,9M , GCF_000346225.2_ASM34622v2_genomic.fna
2088 , 1,3M , GCF_000346595.1_ASM34659v1_genomic.fna
2089 , 2,4M , GCF_000347595.1_ASM34759v1_genomic.fna
2090 , 3,4M , GCF_000347615.1_ASM34761v1_genomic.fna
2091 , 5,3M , GCF_000347635.1_ASM34763v1_genomic.fna
2092 , 4,5M , GCF_000347675.2_ASM34767v2_genomic.fna
2093 , 2,3M , GCF_000347695.1_ASM34769v1_genomic.fna
2094 , 3,8M , GCF_000348565.1_ASM34856v1_genomic.fna
2095 , 5,2M , GCF_000348585.1_ASM34858v1_genomic.fna
2096 , 2,6M , GCF_000348725.1_ASM34872v1_genomic.fna
2097 , 2,4M , GCF_000348745.1_ASM34874v1_genomic.fna
2098 , 1,5M , GCF_000348765.2_ASM34876v2_genomic.fna
2099 , 4,7M , GCF_000348785.1_ASM34878v1_genomic.fna
2100 , 626K , GCF_000348805.1_ASM34880v1_genomic.fna
2101 , 1,6M , GCF_000348865.1_ASM34886v1_genomic.fna
2102 , 1,6M , GCF_000348885.1_ASM34888v1_genomic.fna
2103 , 5,3M , GCF_000349225.1_ASM34922v1_genomic.fna
2104 , 278K , GCF_000349745.1_ASM34974v1_genomic.fna
2105 , 2,6M , GCF_000349765.2_ASM34976v2_genomic.fna
2106 , 2,5M , GCF_000349785.2_ASM34978v2_genomic.fna
2107 , 3,9M , GCF_000349795.1_ASM34979v1_genomic.fna
2108 , 5,6M , GCF_000349845.1_ASM34984v1_genomic.fna
2109 , 2,9M , GCF_000349885.2_ASM34988v2_genomic.fna
2110 , 1,8M , GCF_000349925.2_ASM34992v2_genomic.fna
2111 , 5,7M , GCF_000349945.1_ASM34994v1_genomic.fna
2112 , 2,2M , GCF_000349975.1_ASM34997v1_genomic.fna
2113 , 4,3M , GCF_000350205.1_ASM35020v1_genomic.fna
2114 , 5,0M , GCF_000354175.2_ASM35417v2_genomic.fna
2115 , 3,8M , GCF_000355675.1_ASM35567v1_genomic.fna
2116 , 3,0M , GCF_000355695.1_ASM35569v1_genomic.fna
2117 , 3,2M , GCF_000355765.4_ASM35576v4_genomic.fna
2118 , 6,3M , GCF_000359505.1_ASM35950v1_genomic.fna
2119 , 6,7M , GCF_000359525.1_ASM35952v1_genomic.fna
2120 , 2,5M , GCF_000359625.1_ASM35962v1_genomic.fna
2121 , 1,1M , GCF_000363905.1_ASM36390v1_genomic.fna
2122 , 2,9M , GCF_000364165.2_ASM36416v2_genomic.fna
2123 , 2,2M , GCF_000364205.2_ASM36420v2_genomic.fna
2124 , 5,6M , GCF_000364385.3_ASM36438v3_genomic.fna
2125 , 6,4M , GCF_000364445.2_ASM36444v2_genomic.fna
2126 , 533K , GCF_000364725.1_ASM36472v1_genomic.fna
2127 , 1,1M , GCF_000364765.1_ASM36476v1_genomic.fna
2128 , 1,1M , GCF_000364785.1_ASM36478v1_genomic.fna
2129 , 7,4M , GCF_000364805.1_ASM36480v1_genomic.fna
2130 , 2,5M , GCF_000367205.1_ASM36720v1_genomic.fna
2131 , 1,1M , GCF_000367405.1_ASM36740v1_genomic.fna
2132 , 5,3M , GCF_000367425.1_ASM36742v1_genomic.fna
2133 , 2,0M , GCF_000367725.2_Z3055_genomic.fna
2134 , 4,7M , GCF_000376545.2_ASM37654v2_genomic.fna
2135 , 1,3M , GCF_000376585.1_ASM37658v1_genomic.fna
2136 , 1,3M , GCF_000376605.1_ASM37660v1_genomic.fna
2137 , 851K , GCF_000376625.1_ASM37662v1_genomic.fna
2138 , 2,7M , GCF_000376645.1_ASM37664v1_genomic.fna
2139 , 2,5M , GCF_000376705.1_ASM37670v1_genomic.fna
2140 , 5,2M , GCF_000380335.1_ASM38033v1_genomic.fna
2141 , 5,2M , GCF_000380365.1_ASM38036v1_genomic.fna
2142 , 4,7M , GCF_000382585.2_ASM38258v2_genomic.fna
2143 , 3,2M , GCF_000382905.1_ASM38290v1_genomic.fna
2144 , 2,7M , GCF_000382965.1_ASM38296v1_genomic.fna
2145 , 2,8M , GCF_000382985.1_ASM38298v1_genomic.fna
2146 , 2,7M , GCF_000383005.1_ASM38300v1_genomic.fna
2147 , 6,5M , GCF_000385525.1_ASM38552v1_genomic.fna
2148 , 4,7M , GCF_000385905.1_ASM38590v1_genomic.fna
2149 , 2,1M , GCF_000385925.1_ASM38592v1_genomic.fna
2150 , 7,7M , GCF_000385945.1_ASM38594v1_genomic.fna
2151 , 809K , GCF_000387745.2_ASM38774v2_genomic.fna
2152 , 4,9M , GCF_000389635.1_ASM38963v1_genomic.fna
2153 , 2,0M , GCF_000389675.2_ASM38967v2_genomic.fna
2154 , 9,0M , GCF_000389965.1_ASM38996v1_genomic.fna
2155 , 4,7M , GCF_000390085.1_ASM39008v1_genomic.fna
2156 , 2,0M , GCF_000390245.1_ASM39024v1_genomic.fna
2157 , 1,9M , GCF_000390265.1_ASM39026v1_genomic.fna
2158 , 3,2M , GCF_000391485.2_ASM39148v2_genomic.fna
2159 , 1003K , GCF_000392435.1_ASM39243v1_genomic.fna
2160 , 1,6M , GCF_000392455.3_ASM39245v3_genomic.fna
2161 , 1,6M , GCF_000392475.3_ASM39247v3_genomic.fna
2162 , 3,2M , GCF_000392485.3_ASM39248v2_genomic.fna
2163 , 1,7M , GCF_000392515.3_ASM39251v3_genomic.fna
2164 , 1,7M , GCF_000392535.3_ASM39253v3_genomic.fna
2165 , 2,0M , GCF_000397165.1_ASM39716v1_genomic.fna
2166 , 950K , GCF_000397185.1_ASM39718v1_genomic.fna
2167 , 6,7M , GCF_000397205.1_ASM39720v1_genomic.fna
2168 , 4,3M , GCF_000400615.1_ASM40061v1_genomic.fna
2169 , 8,7M , GCF_000400635.2_ASM40063v2_genomic.fna
2170 , 911K , GCF_000400855.1_ASM40085v1_genomic.fna
2171 , 2,2M , GCF_000400875.1_ASM40087v1_genomic.fna
2172 , 1,1M , GCF_000400935.1_ASM40093v1_genomic.fna
2173 , 1,1M , GCF_000400955.1_ASM40095v1_genomic.fna
2174 , 2,8M , GCF_000401175.1_ASM40117v1_genomic.fna
2175 , 4,9M , GCF_000401555.1_ASM40155v1_genomic.fna
2176 , 5,0M , GCF_000401735.2_ASM40173v2_genomic.fna
2177 , 6,8M , GCF_000402035.1_ASM40203v1_genomic.fna
2178 , 5,0M , GCF_000403575.2_ASM40357v2_genomic.fna
2179 , 3,3M , GCF_000404145.1_ASM40414v1_genomic.fna
2180 , 3,3M , GCF_000404185.1_ASM40418v1_genomic.fna
2181 , 1,7M , GCF_000404205.1_ASM40420v1_genomic.fna
2182 , 3,4M , GCF_000404245.1_ASM40424v1_genomic.fna
2183 , 5,4M , GCF_000406765.2_ASM40676v2_genomic.fna
2184 , 4,3M , GCF_000408885.1_ASM40888v1_genomic.fna
2185 , 6,7M , GCF_000410575.1_ASM41057v1_genomic.fna
2186 , 2,1M , GCF_000410995.1_ASM41099v1_genomic.fna
2187 , 3,3M , GCF_000412205.1_ASM41220v1_genomic.fna
2188 , 8,5M , GCF_000412265.2_ASM41226v2_genomic.fna
2189 , 6,0M , GCF_000412675.1_ASM41267v1_genomic.fna
2190 , 6,3M , GCF_000412695.1_ASM41269v1_genomic.fna
2191 , 2,8M , GCF_000412775.1_ASM41277v1_genomic.fna
2192 , 6,2M , GCF_000414035.1_ASM41403v1_genomic.fna
2193 , 1,9M , GCF_000414215.1_ASM41421v1_genomic.fna
2194 , 5,6M , GCF_000417225.2_ASM41722v2_genomic.fna
2195 , 5,4M , GCF_000417265.2_ASM41726v2_genomic.fna
2196 , 3,1M , GCF_000418305.1_ASM41830v1_genomic.fna
2197 , 15M , GCF_000418325.1_ASM41832v1_genomic.fna
2198 , 2,9M , GCF_000418345.1_ASM41834v1_genomic.fna
2199 , 2,7M , GCF_000418365.1_ASM41836v1_genomic.fna
2200 , 2,8M , GCF_000418475.1_ASM41847v1_genomic.fna
2201 , 2,9M , GCF_000418495.1_ASM41849v1_genomic.fna
2202 , 3,1M , GCF_000418515.1_ASM41851v1_genomic.fna
2203 , 5,5M , GCF_000418535.1_ASM41853v2_genomic.fna
2204 , 4,0M , GCF_000419385.1_ASM41938v1_genomic.fna
2205 , 4,0M , GCF_000419405.1_ASM41940v1_genomic.fna
2206 , 3,9M , GCF_000419425.1_ASM41942v1_genomic.fna
2207 , 1,8M , GCF_000422045.1_ASM42204v1_genomic.fna
2208 , 5,2M , GCF_000422085.1_ASM42208v1_genomic.fna
2209 , 2,7M , GCF_000422095.1_ASM42209v1_genomic.fna
2210 , 4,3M , GCF_000422125.1_ASM42212v1_genomic.fna
2211 , 2,6M , GCF_000422145.1_ASM42214v1_genomic.fna
2212 , 2,2M , GCF_000422165.1_ASM42216v1_genomic.fna
2213 , 2,1M , GCF_000427035.1_09mas018883_genomic.fna
2214 , 2,1M , GCF_000427075.1_ILRI005_genomic.fna
2215 , 889K , GCF_000427215.1_ASM42721v1_genomic.fna
2216 , 2,5M , GCF_000427275.1_ASM42727v1_genomic.fna
2217 , 4,8M , GCF_000430085.2_ASM43008v2_genomic.fna
2218 , 4,8M , GCF_000430105.1_ASM43010v1_genomic.fna
2219 , 5,1M , GCF_000430125.1_ASM43012v1_genomic.fna
2220 , 5,0M , GCF_000430145.2_ASM43014v3_genomic.fna
2221 , 4,7M , GCF_000430165.1_ASM43016v1_genomic.fna
2222 , 1,7M , GCF_000430385.1_ASM43038v1_genomic.fna
2223 , 5,1M , GCF_000430405.1_ASM43040v1_genomic.fna
2224 , 5,0M , GCF_000430425.1_ASM43042v1_genomic.fna
2225 , 7,4M , GCF_000430465.3_TA12020_genomic.fna
2226 , 3,0M , GCF_000438585.1_ASM43858v1_genomic.fna
2227 , 2,9M , GCF_000438605.1_ASM43860v1_genomic.fna
2228 , 2,9M , GCF_000438625.1_ASM43862v1_genomic.fna
2229 , 2,9M , GCF_000438645.1_ASM43864v1_genomic.fna
2230 , 2,9M , GCF_000438665.2_ASM43866v2_genomic.fna
2231 , 3,2M , GCF_000438685.2_ASM43868v2_genomic.fna
2232 , 3,0M , GCF_000438705.2_ASM43870v2_genomic.fna
2233 , 3,0M , GCF_000438725.2_ASM43872v2_genomic.fna
2234 , 3,0M , GCF_000438745.2_ASM43874v2_genomic.fna
2235 , 5,3M , GCF_000438825.1_ASM43882v1_genomic.fna
2236 , 4,7M , GCF_000439255.1_ASM43925v1_genomic.fna
2237 , 2,1M , GCF_000439275.1_ASM43927v1_genomic.fna
2238 , 1,6M , GCF_000439295.2_ASM43929v2_genomic.fna
2239 , 4,7M , GCF_000439415.2_ASM43941v2_genomic.fna
2240 , 1,1M , GCF_000439435.1_ASM43943v1_genomic.fna
2241 , 935K , GCF_000439455.1_ASM43945v1_genomic.fna
2242 , 4,3M , GCF_000439495.1_ASM43949v1_genomic.fna
2243 , 4,3M , GCF_000439535.1_ASM43953v1_genomic.fna
2244 , 4,8M , GCF_000439575.1_ASM43957v1_genomic.fna
2245 , 4,3M , GCF_000439595.1_ASM43959v1_genomic.fna
2246 , 7,2M , GCF_000439695.1_ASM43969v1_genomic.fna
2247 , 2,6M , GCF_000439735.1_ASM43973v1_genomic.fna
2248 , 1,5M , GCF_000439755.1_ASM43975v1_genomic.fna
2249 , 1,5M , GCF_000439775.1_ASM43977v1_genomic.fna
2250 , 1,9M , GCF_000439915.2_ASM43991v2_genomic.fna
2251 , 2,0M , GCF_000441535.1_ASM44153v1_genomic.fna
2252 , 460K , GCF_000441555.1_ASM44155v1_genomic.fna
2253 , 173K , GCF_000441575.1_ASM44157v1_genomic.fna
2254 , 1,1M , GCF_000441585.1_ASM44158v1_genomic.fna
2255 , 1,1M , GCF_000441615.1_ASM44161v1_genomic.fna
2256 , 1,1M , GCF_000441635.1_ASM44163v1_genomic.fna
2257 , 1,1M , GCF_000441655.1_ASM44165v1_genomic.fna
2258 , 1,1M , GCF_000441675.1_ASM44167v1_genomic.fna
2259 , 1,1M , GCF_000441695.1_ASM44169v1_genomic.fna
2260 , 1,1M , GCF_000441715.1_ASM44171v1_genomic.fna
2261 , 1,1M , GCF_000441735.1_ASM44173v1_genomic.fna
2262 , 1,1M , GCF_000441755.1_ASM44175v1_genomic.fna
2263 , 1,1M , GCF_000441775.1_ASM44177v1_genomic.fna
2264 , 1,1M , GCF_000441795.1_ASM44179v1_genomic.fna
2265 , 1,1M , GCF_000441815.1_ASM44181v1_genomic.fna
2266 , 4,8M , GCF_000442415.1_ASM44241v1_genomic.fna
2267 , 7,0M , GCF_000442435.1_ASM44243v1_genomic.fna
2268 , 2,6M , GCF_000442595.1_ASM44259v1_genomic.fna
2269 , 2,8M , GCF_000442645.1_ASM44264v1_genomic.fna
2270 , 3,2M , GCF_000444405.1_ASM44440v1_genomic.fna
2271 , 3,8M , GCF_000444425.1_ASM44442v1_genomic.fna
2272 , 8,1M , GCF_000444875.1_ASM44487v1_genomic.fna
2273 , 4,8M , GCF_000444995.1_ASM44499v1_genomic.fna
2274 , 3,0M , GCF_000445015.1_ASM44501v1_genomic.fna
2275 , 5,1M , GCF_000445035.1_ASM44503v1_genomic.fna
2276 , 928K , GCF_000445425.4_ASM44542v4_genomic.fna
2277 , 3,4M , GCF_000445995.2_ASM44599v2_genomic.fna
2278 , 2,8M , GCF_000447675.1_ASM44767v1_genomic.fna
2279 , 2,1M , GCF_000448685.2_ASM44868v2_genomic.fna
2280 , 2,8M , GCF_000452385.2_ASM45238v2_genomic.fna
2281 , 5,9M , GCF_000452445.2_ASM45244v3_genomic.fna
2282 , 6,0M , GCF_000452525.3_ASM45252v4_genomic.fna
2283 , 6,0M , GCF_000452565.2_ASM45256v3_genomic.fna
2284 , 5,8M , GCF_000452605.2_ASM45260v3_genomic.fna
2285 , 5,7M , GCF_000452705.1_ASM45270v3_genomic.fna
2286 , 5,8M , GCF_000452745.2_ASM45274v3_genomic.fna
2287 , 9,9M , GCF_000454025.1_ASM45402v1_genomic.fna
2288 , 6,2M , GCF_000454045.1_ASM45404v1_genomic.fna
2289 , 4,0M , GCF_000455565.1_ucmb5033v1_genomic.fna
2290 , 3,8M , GCF_000455585.1_ucmb5113v1_genomic.fna
2291 , 2,9M , GCF_000455605.1_GPTSA100-9_genomic.fna
2292 , 2,7M , GCF_000462955.1_ASM46295v1_genomic.fna
2293 , 4,0M , GCF_000462975.1_ASM46297v1_genomic.fna
2294 , 4,5M , GCF_000462995.1_ASM46299v1_genomic.fna
2295 , 7,0M , GCF_000463015.1_ASM46301v1_genomic.fna
2296 , 2,7M , GCF_000463055.1_ASM46305v1_genomic.fna
2297 , 4,9M , GCF_000463345.2_ASM46334v3_genomic.fna
2298 , 2,0M , GCF_000463355.1_ASM46335v1_genomic.fna
2299 , 1,9M , GCF_000463385.1_ASM46338v1_genomic.fna
2300 , 1,9M , GCF_000463395.1_ASM46339v1_genomic.fna
2301 , 2,0M , GCF_000463425.1_ASM46342v1_genomic.fna
2302 , 1,9M , GCF_000463445.1_ASM46344v1_genomic.fna
2303 , 1,9M , GCF_000463465.1_ASM46346v1_genomic.fna
2304 , 2,2M , GCF_000463505.1_ASM46350v1_genomic.fna
2305 , 5,9M , GCF_000464435.1_ASM46443v1_genomic.fna
2306 , 4,7M , GCF_000464515.2_ASM46451v2_genomic.fna
2307 , 4,9M , GCF_000464955.2_ASM46495v2_genomic.fna
2308 , 1,7M , GCF_000465235.1_ASM46523v1_genomic.fna
2309 , 1,8M , GCF_000465255.1_ASM46525v1_genomic.fna
2310 , 4,4M , GCF_000465465.2_ASM46546v2_genomic.fna
2311 , 5,2M , GCF_000465975.2_ASM46597v2_genomic.fna
2312 , 1,7M , GCF_000466065.2_ASM46606v2_genomic.fna
2313 , 1,8M , GCF_000466075.2_ASM46607v2_genomic.fna
2314 , 1,7M , GCF_000466105.2_ASM46610v2_genomic.fna
2315 , 2,3M , GCF_000466785.3_ASM46678v3_genomic.fna
2316 , 2,5M , GCF_000466885.3_ASM46688v3_genomic.fna
2317 , 3,4M , GCF_000466905.3_ASM46690v3_genomic.fna
2318 , 1,8M , GCF_000466925.3_ASM46692v3_genomic.fna
2319 , 4,7M , GCF_000468515.1_ASM46851v1_genomic.fna
2320 , 4,5M , GCF_000468615.2_ASM46861v2_genomic.fna
2321 , 1,7M , GCF_000468915.2_ASM46891v2_genomic.fna
2322 , 2,4M , GCF_000468955.1_ASM46895v1_genomic.fna
2323 , 3,7M , GCF_000469135.2_ASM46913v2_genomic.fna
2324 , 1,1M , GCF_000470765.1_ASM47076v1_genomic.fna
2325 , 2,6M , GCF_000470775.1_ASM47077v1_genomic.fna
2326 , 1,1M , GCF_000470805.1_ASM47080v1_genomic.fna
2327 , 1,1M , GCF_000470825.1_ASM47082v1_genomic.fna
2328 , 2,7M , GCF_000470845.1_ASM47084v1_genomic.fna
2329 , 2,7M , GCF_000470865.1_ASM47086v1_genomic.fna
2330 , 1,1M , GCF_000471025.2_ASM47102v2_genomic.fna
2331 , 1,9M , GCF_000471945.1_ASM47194v1_genomic.fna
2332 , 620K , GCF_000471965.1_ASM47196v1_genomic.fna
2333 , 2,0M , GCF_000471985.1_ASM47198v1_genomic.fna
2334 , 4,8M , GCF_000473245.1_ASM47324v1_genomic.fna
2335 , 4,6M , GCF_000473275.1_ASM47327v1_genomic.fna
2336 , 6,6M , GCF_000473745.2_ASM47374v3_genomic.fna
2337 , 5,0M , GCF_000473995.1_ASM47399v1_genomic.fna
2338 , 5,0M , GCF_000474015.1_ASM47401v1_genomic.fna
2339 , 4,5M , GCF_000477035.2_ASM47703v2_genomic.fna
2340 , 559K , GCF_000477415.1_ASM47741v1_genomic.fna
2341 , 2,9M , GCF_000477435.1_ASM47743v1_genomic.fna
2342 , 2,6M , GCF_000478255.1_ASM47825v2_genomic.fna
2343 , 3,7M , GCF_000478825.2_ASM47882v2_genomic.fna
2344 , 2,8M , GCF_000478885.1_ASM47888v1_genomic.fna
2345 , 2,1M , GCF_000478925.1_ASM47892v1_genomic.fna
2346 , 2,0M , GCF_000479315.1_ASM47931v1_genomic.fna
